,score
1818,108.45
1819,103.4
1820,99.55
1821,95.85
1822,102.2
1823,99.9
1824,100.35
1825,105.95
1826,102.1
1827,103.35
1828,97.95
1829,108.55
1830,105.5
1831,100.75
1832,85.85
1833,85.85
1834,86.9
1835,85.45
1836,89.35
1837,88.0
1838,90.65
1839,101.1
1840,105.05
1841,108.75
1842,101.35
1843,104.9
1844,113.7
1845,103.9
1846,104.75
1847,105.6
1848,112.35
1849,101.75
1850,102.1
1851,107.95
1852,113.2
1853,107.05
1854,106.05
1855,108.3
1856,107.3
1857,104.5
1858,102.65
1859,97.25
1860,106.7
1861,103.75
1862,108.5
1863,102.9
1864,96.85
1865,109.25
1866,111.45
1867,119.65
1868,126.7
1869,127.45
1870,129.65
1871,133.0
1872,138.95
1873,149.65
1874,153.2
1875,155.35
1876,159.05
1877,175.1
1878,185.75
1879,183.4
1880,171.7
1881,174.2
1882,179.5
1883,187.2
1884,201.6
1885,197.2
1886,204.8
1887,200.15
1888,198.2
1889,209.4
1890,219.7
1891,219.05
1892,218.35
1893,219.3
1894,226.25
1895,219.85
1896,211.55
1897,196.55
1898,184.05
1899,182.3
1900,179.75
1901,173.0
1902,158.5
1903,150.8
1904,133.2
1905,124.75
1906,113.95
1907,121.45
1908,117.6
1909,107.85
1910,98.35
1911,103.45
1912,92.95
1913,94.3
1914,89.65
1915,92.55
1916,96.75
1917,107.35
1918,118.0
1919,120.25
1920,121.25
1921,127.05
1922,133.95
1923,138.05
1924,148.9
1925,153.45
1926,160.3
1927,149.8
1928,146.0
1929,145.1
1930,153.85
1931,151.4
1932,158.9
1933,156.7
1934,158.9
1935,170.65
1936,164.5
1937,159.4
1938,155.2
1939,161.45
1940,163.6
1941,165.85
1942,172.35
1943,175.85
1944,169.95
1945,175.5
1946,180.05
1947,184.3
1948,192.6
1949,202.0
1950,199.65
1951,200.95
1952,203.95
1953,207.2
1954,209.65
1955,200.75
1956,213.55
1957,217.5
1958,221.7
1959,222.7
1960,235.6
1961,236.55
1962,235.65
1963,239.2
1964,245.6
1965,242.15
1966,243.05
1967,247.6
1968,240.3
1969,244.1
1970,244.15
1971,247.45
1972,252.55
1973,250.15
1974,243.35
1975,247.55
1976,243.95
1977,247.2
1978,244.95
1979,237.65
1980,225.5
1981,224.8
1982,228.9
1983,226.3
1984,226.6
1985,234.1
1986,228.5
1987,228.5
1988,235.8
1989,233.4
1990,225.75
1991,224.15
1992,222.3
1993,217.9
1994,219.45
1995,225.75
1996,230.8
1997,220.45
1998,220.25
1999,220.1
2000,221.0
2001,220.4
2002,212.5
2003,206.95
2004,198.65
2005,191.35
2006,188.95
2007,182.45
2008,180.95
2009,174.15
2010,172.15
2011,164.15
2012,153.4
2013,151.3
2014,151.05
2015,137.7
2016,122.15
2017,130.75
2018,126.15
2019,129.1
2020,128.65
2021,125.95
2022,123.7
2023,121.85
2024,119.65
2025,115.5
2026,114.3
2027,115.1
2028,107.0
2029,104.9
2030,107.75
2031,104.75
2032,104.6
2033,102.6
2034,104.8
2035,107.45
2036,107.3
2037,96.5
2038,98.7
2039,95.55
2040,104.85
2041,116.4
2042,123.8
2043,128.8
2044,136.1
2045,146.7
2046,150.95
2047,156.45
2048,169.25
2049,168.35
2050,171.3
2051,175.95
2052,179.6
2053,182.45
2054,178.05
2055,180.05
2056,184.2
2057,188.0
2058,185.55
2059,186.7
2060,179.2
2061,166.65
2062,159.6
2063,157.7
2064,153.05
2065,141.75
2066,137.55
2067,132.0
2068,122.3
2069,130.0
2070,129.0
2071,129.9
2072,125.7
2073,124.5
2074,123.7
2075,121.3
2076,119.15
2077,122.3
2078,124.4
2079,125.75
2080,124.75
2081,134.2
2082,131.15
